DishTitle,Ingredients,Instructions,Published,Rating,Reviews
Roasted Peaches with Ricotta Buttercream and Breadcrumbs,"½ cup honey,½ cup white wine vinegar,½ teaspoon kosher salt, divided,4 firm but ripe peaches, halved, pitted,6 tablespoons unsalted butter, room temperature,2 tablespoons powdered sugar,¾ cup ricotta, room temperature,¼ cup panko (Japanese breadcrumbs),2 teaspoons raw sugar,2 teaspoons olive oil, plus more for serving","Preheat oven to 250°. Whisk honey, vinegar, and ¼ tsp. salt in a medium bowl. Toss peaches in mixture until completely coated. Arrange peaches, cut side down, in a 3-qt. baking dish and pour honey mixture over top. Roast until fruit is just beginning to soften, 20–25 minutes. Turn over and continue to roast, occasionally basting with pan juices, until flesh is soft and gives when gently pressed but fruit still holds its shape, 25–35 minutes more. Let peaches cool in roasting juices.,Meanwhile, using an electric mixer on medium-high speed, beat butter, powdered sugar, and remaining ¼ tsp. salt in a small bowl until light and creamy, about 2 minutes. Add ricotta and beat, occasionally scraping down sides of bowl, until no streaks remain, about 1 minute. The finished buttercream will have a slightly coarse texture from the ricotta.,Toss panko, raw sugar, and 2 tsp. oil in a small skillet over medium heat to combine and cook, stirring and shaking pan often, until panko is golden brown (sugar will caramelize and turn medium amber before all the panko browns), about 3 minutes.,Just before serving, dollop buttercream in the center of each peach where the pit used to be. Spoon pan juices over, drizzle with oil, and scatter panko over buttercream.",July 2015,3.7,
Pasta with Swordfish and Cherry Tomato Sauce,"3 tablespoons olive oil, divided,4 oil-packed anchovy fillets,4 garlic cloves, sliced,½ teaspoon crushed red pepper flakes,2 pints cherry tomatoes, halved,Kosher salt and freshly ground black pepper,1 pound 1-inch-thick swordfish steaks,2 tablespoons pine nuts,12 ounces casarecce or other short pasta,½ cup chopped fresh parsley, divided,2 tablespoons golden raisins","Heat 2 Tbsp. oil in a large skillet over medium. Cook anchovies, garlic, and red pepper flakes, stirring occasionally, until anchovies disintegrate, about 3 minutes. Add half of tomatoes; season with salt and pepper. Cook, stirring occasionally, until sauce thickens, 12–15 minutes. Add remaining tomatoes; remove from heat.,Meanwhile, heat remaining 1 Tbsp. oil in a large skillet over medium-high. Season fish with salt and pepper and cook until golden brown and just cooked through, about 4 minutes per side. Let cool slightly. Coarsely flake flesh; discard skin.,Toast nuts in a dry small skillet over medium-low heat, tossing often, until golden brown, about 4 minutes. Let cool.,Cook pasta in a large pot of boiling salted water, stirring occasionally, until al dente. Drain, reserving 1 cup pasta cooking liquid.,Add pasta and ½ cup pasta cooking liquid to tomato sauce and cook over low heat, tossing often and adding more cooking liquid as needed, until sauce is thickened and coats pasta. Add fish to pasta along with half of parsley and toss once to combine.,Serve pasta topped with raisins, pine nuts, and remaining parsley.",August 2015,3.95,"Your the one who put something with no flavor on the tables,I had high hopes for this dish but it turned out really bland. I followed the recipe exactly as instructed. "
Snapper Escabèche with Charred Scallions,"8 tablespoons olive oil, divided, plus more for grill,½ small red onion, thinly sliced,¼ cup white wine vinegar,Kosher salt and freshly ground black pepper,4 6-ounce skin-on snapper fillets,1 bunch scallions,Parsley leaves with tender stems (for serving)","Prepare grill for medium-high heat; oil grate. Combine onion, vinegar, and 6 Tbsp. oil in a small bowl; season with salt and pepper. Set marinade aside.,Rub snapper all over with 1 Tbsp. oil total; season with salt and pepper. Grill, skin side down, until lightly charred and almost cooked through, 4–6 minutes (skin should release easily; if it sticks, grill another minute or two). Turn; grill until just cooked through, about 1 minute. Place skin side up in a baking dish.,Pour reserved marinade over hot snapper and let sit at least 10 minutes (the longer it sits, the more intensely flavored it will be).,Meanwhile, toss scallions on a baking sheet with remaining 1 Tbsp. oil; season with salt and pepper. Grill, turning often, until lightly charred and wilted, about 2 minutes. Transfer to a cutting board. Let cool; coarsely chop.,To serve, spoon marinade over snapper and top with scallions and parsley.,Do Ahead:, Snapper can be marinated 2 hours ahead. Cover and chill.",June 2015,3.1,
Lamb-Bacon Burgers with Spicy Aioli,"1 large egg yolk*,2 teaspoons Dijon mustard,½ cup vegetable oil,1 canned chipotle chile in adobo, finely chopped,1 garlic clove, finely grated,2 teaspoons finely grated lemon zest,1 tablespoon fresh lemon juice,Kosher salt,4 plum tomatoes, cored, halved lengthwise,1 tablespoon thyme leaves,1 tablespoon plus 2 teaspoons olive oil,1½ teaspoons kosher salt, plus more,Freshly ground black pepper,½ pound thick-cut bacon, cut into pieces,1 pound ground lamb, preferably from the shoulder,3 tablespoons finely chopped fresh oregano,3 tablespoons finely chopped fresh sage,4 brioche buns, toasted,⅓ pound fresh mozzarella, thinly sliced,3 cups baby arugula,1 teaspoon Sherry vinegar or red wine vinegar","Whisk egg yolk and mustard in a medium bowl to combine. Whisking constantly, gradually drizzle in oil, drop by drop at first; keep going until aioli is thickened and smooth. Whisk in chipotle, garlic, lemon zest, and lemon juice; season with salt. Cover and chill.,Do Ahead:, Aioli can be made 1 day ahead. Keep chilled.,Preheat oven to 225°. Toss tomatoes, thyme, and 1 Tbsp. oil on a baking sheet; season with salt and pepper. Arrange tomatoes cut side down and roast until skin is slightly browned and beginning to separate from flesh, 75–85 minutes. Let cool, then slip off skins.,While tomatoes are roasting, freeze bacon until almost frozen through, about 40 minutes (this will help it chop cleanly in the food processor). Pulse bacon in a food processor, scraping down sides of bowl as needed, until very finely chopped, about 1 minute.,Transfer bacon to a medium bowl and gently mix in ground lamb, oregano, sage, and 1 ½ tsp. salt just to combine. Divide meat into 4 equal portions and gently shape into ¾""-thick patties.,Heat a grill pan or a cast-iron skillet over medium-high. Cook patties until lightly charred and medium-rare, about 2 minutes per side. Generously spread buns with aioli and build burgers with patties, roasted tomatoes, and mozzarella.,Toss arugula in another medium bowl with vinegar and remaining 2 tsp. oil; season with salt and pepper.,Serve burgers with arugula alongside.,*Raw egg is not recommended for the elderly, pregnant women, children under 4, and people with weakened immune systems.",May 2015,3.66,"Yes, it looks so delicious, the chef makes so fast that i can't follow,Yes! I would absolutely make these again, with the exception of the bun. Definitely would need ciabatta or something much sturdier.  The contents of the burger turned the brioche to mush almost instantly.,Excelente"
Ludo Lefebvre's Omelet,"2 large eggs,2 tablespoons unsalted European-style butter (such as Plugra), room temperature, divided, plus more for serving,Fleur de sel or other coarse sea salt,Freshly ground white pepper,1 ounce Boursin Pepper Cheese,1 tablespoon finely chopped chives","Whisk eggs in a medium bowl until very, very well combined (there should be no strands of egg white remaining, but be careful not to incorporate too much air). To make sure eggs are really smooth, strain through a fine-mesh sieve into a small bowl.,Heat 1 Tbsp. butter in an 8"" nonstick skillet over medium heat. Once the butter just begins to foam (don't let it sizzle), add eggs and season with fleur de sel and pepper. Using a rubber spatula, stir eggs very quickly and constantly in a figure-eight pattern while simultaneously moving the skillet around in a circular motion. Scrape down the sides of the skillet as you go to avoid dry bits in your omelet.,As soon as eggs begin to coagulate, which will take about 2 minutes, shake skillet to settle any uncooked egg. Keep stirring and moving pan in a circular motion until eggs are nearly cooked through on the bottom but still runny on top (or ,baveuse,, as the French say), about 1 minute. Lift an edge of the omelet to check that it is holding together; the underside of the omelet should have taken on no color. Remove pan from heat and let sit 1 minute to help omelet release from skillet and maintain its smooth texture.,Spoon dollops of cheese across the center of the omelet, working perpendicular to the skillet's handle, setting you up to hold the handle with your left hand and flip the omelet onto your plate when the time comes.,Starting at the edge closest to the handle, immediately roll up omelet in 1½"" intervals, using spatula, until halfway through. Add another 1 Tbsp. butter, then continue rolling up omelet and turn out onto a plate, seam side down.,Rub a little butter on top of omelet (to make it shiny) and sprinkle with fleur de sel and chives.",April 2015,3.66,"Tried this for the first time this morning, and it turned out pretty good! I couldn't find any french butter, so I used Irish Kerrygold. My fold wasn't perfect, but it was still such a delicious and creamy omelet! I'll definitely be giving this another shot soon.,hello this recipe says place the cheese perpendicular to handle, but in the video, the cheese goes in along the same line of the handle.,Omfg. I stumbled across this tonight just before I was going to bed and thought, “I have to make this right now it looks delicious”. So I did and though mine had a tinge of light browning on the outer, I only had cheap unsalted butter on hand and had to use Colby cheese - the result was heavenly. This is THE most delicious egg recipe of ALL egg recipes I’ve ever had in my entire life! You have not tasted eggs until you’ve tried them exactly like this. EQUISITE! Thank you for changing my life!"
Baked Beans with Slab Bacon and Breadcrumbs,"2 cups dried navy or cannellini beans, soaked overnight,2 medium onions, 1 halved, 1 thinly sliced,1 Parmesan rind (optional), plus ½ cup finely grated Parmesan,1 head garlic, halved crosswise, plus 4 cloves, finely chopped, divided,2 bay leaves,2 teaspoons kosher salt, plus more,8 ounces slab bacon, cut into 2x¼” pieces,1 large shallot, thinly sliced,4 sprigs thyme plus 1 tablespoon leaves,Freshly ground black pepper,¼ cup dry white wine,1½ cups coarsely torn fresh breadcrumbs,2 tablespoons olive oil","Drain beans and place in a large heavy pot along with halved onion, Parmesan rind (if using), halved head of garlic, bay leaves, and 2 tsp. salt. Add water to cover by 2”. Bring to a boil, reduce heat, and simmer until beans are tender, 1–1½ hours.,Meanwhile, cook bacon in a large skillet over medium heat, turning occasionally, until brown and most of fat has rendered, 8–10 minutes. Transfer to a plate with tongs or a slotted spoon.,Add thinly sliced onion, shallot, thyme sprigs, and three-fourths of chopped garlic to pan drippings in skillet; season with salt and pepper. Cook, stirring occasionally, until onion is starting to caramelize and is very soft, 10–15 minutes. Add wine, bring to a simmer, and cook, stirring occasionally, until liquid is almost completely evaporated, about 4 minutes. Remove from heat and pluck out thyme sprigs.,Preheat oven to 400°. Drain beans, reserving cooking liquid. Transfer beans to a large bowl and mix in bacon, onion mixture, thyme leaves, grated Parmesan, and 1½–2 cups cooking liquid (this will be most of it; mixture should be consistency of stew); season with salt and pepper. Transfer beans to a shallow 1½-qt. baking dish.,Mix breadcrumbs, oil, and remaining chopped garlic in a medium bowl; season with salt and pepper. Scatter over beans; bake until liquid is thickened and bubbling and crumbs are golden brown, 45–55 minutes. Let cool slightly before serving.,Do Ahead:, Beans can be baked 5 days ahead. Let cool; cover and chill.",March 2015,3.52,These beans have incredible depth of flavor and only get better a few days leftover! This is my new go-to recipe for baked beans; replacing a three generations old saucy (too) sweet baked bean. 
"Fish Pie with Potatoes, Leeks, Zucchini, and Tomatoes","1½ pounds russet potatoes (about 3 medium), peeled, cut into 2” pieces,Kosher salt,3 tablespoons unsalted butter, divided, plus 3 tablespoons melted,1 leek, white and pale-green parts only, thinly sliced into rounds,Freshly ground black pepper,¾ cup heavy cream, divided,1 medium zucchini, grated,1 garlic clove, finely chopped,⅓ cup brandy,¾ cup canned crushed tomatoes,½ pound skinless firm white fish fillets (such as cod, haddock, or halibut),½ pound skinless salmon or arctic char fillets,4 ounces medium shrimp, peeled, deveined, halved lengthwise,2 ounces smoked trout, flaked,1 tablespoon chopped fresh dill","Preheat oven to 350°. Cook potatoes in a large pot of boiling salted water until tender, 15–20 minutes. Drain; return to pot.,Melt 1 Tbsp. butter in a large skillet over medium-high heat. Add leek, season with salt and pepper, and cook, stirring occasionally, until soft, about 5 minutes. Add leek to potatoes along with ½ cup cream, and 3 Tbsp. melted butter. Season with salt and pepper and mash to desired texture.,Melt remaining 2 Tbsp. butter in a large skillet over medium heat. Add zucchini and cook, stirring often, until browned and beginning to stick to skillet, 8–10 minutes. Add garlic, season with salt and pepper, and cook until fragrant, about 1 minute. Add brandy and cook, stirring, until mixture is thickened, about 2 minutes. Add tomatoes and bring to a simmer. Add white fish and salmon and cook, stirring gently, until fish is opaque around edges, about 1 minute. Stir in shrimp and trout and cook until shrimp are opaque. Remove from heat, stir in dill and remaining ¼ cup cream, and season with salt and pepper.,Transfer filling to a 2-qt. baking dish and top with mashed potatoes, making decorative swirls with a large spoon or fork. Place on a baking sheet and bake pie until mashed potatoes are golden brown and center is hot, 40–45 minutes.",February 2015,3.6,
Caramelized-Honey Brûlée,"¾ cup honey,1 vanilla bean, split lengthwise,3 cups heavy cream,1 cup whole milk,¾ teaspoon kosher salt,8 large egg yolks,3 tablespoons sugar,Eight 6-oz. ramekins,A kitchen torch","Preheat oven to 300°. Place honey in a medium saucepan and scrape in vanilla seeds; save pod for another use. Cook over medium-high, swirling pan occasionally, until honey darkens and smells almost burnt (don’t worry, this is what you’re going for!) and bubbling begins to slow, 5–8 minutes. Gradually add cream, then milk, to caramelized honey, stirring constantly until combined.,Whisk salt into egg yolks in a medium bowl, then stream in honey-caramel mixture, whisking constantly. Strain through a fine-mesh sieve into a large measuring cup. Divide among ramekins.,Place ramekins in a large baking dish lined with a dish towel (it will keep them from sliding around) and pour in boiling water around ramekins so it comes halfway up sides.,Bake until edges of custards are set but centers still jiggle slightly, 65–75 minutes. Remove ramekins from water bath and let custards cool, about 1 hour. Chill until firm, at least 2 hours.,Just before serving, sprinkle custards evenly with sugar and heat with torch until sugar is melted and caramelized to a deep amber color. Your goal is to make a thin, smooth, brittle crust that shatters when broken.,DO AHEAD:, Custards can be made 5 days ahead. Cover and keep chilled.",February 2015,4.3,
Pickled Egg Salad Crostini with Serrano Ham,"½ cup apple cider vinegar,½ cup distilled white vinegar,1 teaspoon sugar,1½ teaspoons kosher salt, plus more,6 large eggs,⅓ cup mayonnaise,¼ cup finely chopped fresh chives,2 tablespoons finely chopped fresh parsley,Freshly ground black pepper,12 slices ¼”-thick country-style bread or ciabatta,3 tablespoons olive oil,2 garlic cloves,Chervil or parsley leaves with tender stems (for serving),12 slices Serrano ham or prosciutto","Bring vinegars, sugar, 1½ tsp. salt, and ½ cup water to a simmer in a medium saucepan. Let cool.,Meanwhile, place eggs in a medium saucepan and add water to cover by 2”. Bring to a boil, cover, and remove from heat. Let sit 10 minutes. Transfer eggs to a bowl of ice water to cool. Drain, peel, and return to bowl. Add pickling liquid; cover and chill at least 12 hours. Remove eggs from pickling liquid. Coarsely chop; mix with mayonnaise, chives, and parsley in a medium bowl. Season with salt, pepper, and some pickling liquid, if desired.,Preheat oven to 425°. Place bread on a baking sheet and drizzle with oil. Toast until golden brown, 5–8 minutes. Rub with garlic. Top each toast with pickled egg salad, some chervil, and a slice of ham.,DO AHEAD:, Eggs can be pickled 1 week ahead. Keep chilled.",February 2015,4,
Cleansing Tea,"1 2"" cinnamon stick,¼ cup coriander seeds,1 bunch cilantro, with roots if possible, lightly bruised with the side of a knife,1 bunch rosemary, lightly bruised with the side of a knife,1 2"" piece peeled ginger, finely grated,2 bags detox tea (such as Traditional Medicinals EveryDay Detox),1 tablespoon manuka honey or raw honey,1 tablespoon raw unfiltered apple cider vinegar","Toast cinnamon stick and coriander seeds in a dry small skillet over medium heat, tossing occasionally, until fragrant and beginning to crackle, about 4 minutes (go easy, you don't want to burn them). Crush on a cutting board with the side of a chef’s knife or cleaver (or use mortar and pestle). Transfer to a large saucepan and add 4 cups water. Cook over medium-high heat until an instant-read thermometer registers 100°.,Add cilantro, rosemary, ginger, tea bags, honey, and vinegar to saucepan, stirring to dissolve honey. Reduce heat to low and let mixture steep until flavorful, 10–15 minutes. Strain through a fine-mesh sieve into a quart jar or large heatproof glass measuring cup, using a ladle to extract as much liquid as possible.",February 2015,3.4,Cilantro is not a well-liked herb in our family but other than that this recipe looks great. What would you reccomend instead of using cilantro? How would mint work?
Iceberg and Cabbage Slaw,"¼ cup buttermilk,2 tablespoons fresh lemon juice,1 tablespoon mayonnaise,3 tablespoons olive oil,Kosher salt and freshly ground black pepper,1 head of iceberg lettuce, outer leaves removed, thinly sliced,½ small head green cabbage, outer leaves removed, thinly sliced,4 scallions, thinly sliced,3 tablespoons chopped fresh chives,1 teaspoon celery seeds","Whisk buttermilk, lemon juice, and mayonnaise in a large bowl, then whisk in oil. Season dressing with salt and pepper.,Add lettuce, cabbage, scallions, chives, and celery seeds to dressing and toss to coat well. Taste and season with salt and pepper.,DO AHEAD:, Iceberg, cabbage, scallions, and chives can be sliced 2 hours ahead. Chill in a large bowl, covered with a damp paper towel.",February 2015,3.4,
BA Brad’s Classic Tonic,"2 limes, halved,1 sprig mint,1 sprig rosemary,1 sprig tarragon,1 teaspoon Swedish digestive bitters,Unsweetened cranberry juice,Black elderberry extract,Ginseng extract, preferably American,Echinacea extract","Thinly slice half of 1 lime into wheels and juice the other 3 halves. Muddle lime wheels and juice, mint, rosemary, tarragon, bitters, a splash of cranberry juice, 2 dropperfuls of elderberry extract, 1 dropperful of ginseng extract, and 1 dropperful of echinacea extract in a quart container. Stir in 4 cups water.",February 2015,4.03,"I got sick with the cold going around lately, and one day after symptoms I started drinking this and it has been a life saver! A few hours after it I felt a lil better already and everyday and now I'm almost there. I never got as bad as some of my friends and I think this was a big part of it. I also feel like it's a perfect drink if you want to mess around with the flavors, add some honey, frozen strawberries, blood orange, who knows! Definitely worth it. Pretty bitter at first but I got use to that super quick.,Written recipe is a bit off. It calls for 2 dropperfuls of elderberry syrup, but Brad pours about 1-2 tbsp of syrup.,I agree with the previous reviewer, this tonic is SUPER bitter as written. However, we modified by adding the juice of one orange, some sliced ginger, and a 1/2 teaspoon of cayenne pepper.  This totally transformed it for the better.  Now it has some sweetness and bite and bitterness too.  ,Incredibly bitter as written. Needed a serious glug of honey."
Ribollita with Italian Sausage,"2 cups coarsely torn day-old sourdough bread,3 tablespoons olive oil, plus more,Kosher salt,1 pound sweet Italian sausage, casings removed,1 cup dry white wine,1 medium onion, finely chopped,3 medium carrots, peeled, finely chopped,3 celery stalks, finely chopped,2 anchovy fillets packed in oil, drained, chopped,3 garlic cloves, thinly sliced,1 teaspoon crushed red pepper flakes,1 bunch Tuscan kale, ribs removed, leaves torn into 2” pieces,1 15-oz. can whole peeled tomatoes, drained, finely chopped,1 15-oz. can cannellini (white kidney) beans, rinsed,8 cups low-sodium chicken broth,1 tablespoon red wine vinegar,4 ounces Parmesan, shaved","Preheat oven to 350°. Toss bread and 3 Tbsp. oil on a rimmed baking sheet, squeezing to moisten; season with salt. Toast, tossing occasionally, until golden brown and crunchy, 15–18 minutes. Let croutons cool.,Using your hands, mix sausage and wine in a medium bowl until smooth. Cook in a large saucepan over medium heat, stirring occasionally, until firm but not browned, about 4 minutes.,Add onion, carrots, celery, anchovies, garlic, and red pepper flakes. Cook, stirring occasionally, until vegetables are tender but still hold their shape, 20–25 minutes. Add kale, tomatoes, beans, and broth and bring to a boil. Reduce heat and simmer, stirring occasionally, until kale offers no resistance when bitten and flavors have melded, about 1 hour.,Just before serving, add vinegar and half of croutons to soup, stirring to break them into smaller pieces. Divide remaining croutons among bowls and ladle soup over. Serve topped with Parmesan and drizzled with more oil.",February 2015,4.31,"Absolutely delicious!! I made this recipe last week. My husband said it was the best soup ever! I normally follow directions to the letter when trying a recipe for the first time. Having said that, I made three changes to the recipe to suit our tastes: small white beans instead of cannellini beans, hot sausage instead of sweet, and spinach instead of kale. We really liked the way the sausage is prepared for this soup. This is a recipe I will make again and again.,this is one of my main soup staples. it's incredible and impressive and pretty darn easy (i mean, just throw everything in a pot). the one thing I don't do is mix the pork with the wine in the beginning. i tried doing it twice and it gave the pork a really loose mealy texture and i like my sausage in little chunks, not all minced and grimy. so i start by sautéing the onions in oil, then add the sausage, let it brown a bit, and then add wine and everything else. aside from that, everything is tops! ,Delicious!  This soup hits all the categories for me.  Hearty, Fresh, healthy(ish), and packed with flavor!  Can’t wait to make it again. I added some ditalini pasta and less of the croutons.  ,sounds yummy.  i love the combination of sausage, beans, and greens.  why not garlicize the croutons, though?"
"Gluten-Free Shells with Beets, Ricotta, and Pistachios","⅓ cup raw pistachios,1 teaspoon plus 5 Tbsp. olive oil; plus more for drizzling,Kosher salt and freshly ground black pepper,1 cup ricotta,2 pounds small golden beets, scrubbed,1 large shallot, finely chopped,3 tablespoons Champagne vinegar,12 ounces gluten-free shells or other short pasta,1 tablespoon finely chopped fresh chives,Flaky sea salt","Preheat oven to 350°. Toast pistachios on a baking sheet, stirring occasionally, until golden brown, 8–10 minutes. Let cool, then chop. Toss in a small bowl with 1 tsp. oil; season with kosher salt and pepper.,Process ricotta and 1 Tbsp. oil in a food processor until smooth (or whisk in a bowl); season with kosher salt and pepper.,Cook beets in a large pot of boiling salted water until just tender, 12–15 minutes. Transfer to a kitchen towel and let cool slightly. Rub off skins with paper towels and slice ¼” thick. Toss in a large bowl with shallot, vinegar, and 4 Tbsp. oil; season with kosher salt and pepper.,Return beet cooking liquid to a boil and use it to cook pasta, stirring occasionally, until al dente. Drain pasta, reserving ½ cup pasta cooking liquid.,Meanwhile, heat a large skillet over medium-high. Cook beets and dressing, tossing occasionally, until beets are golden brown in spots, 8–10 minutes. Add pasta and cook, tossing and adding cooking liquid as needed, until pasta is coated.,Serve pasta over ricotta topped with pistachios and chives and drizzled with oil. Season with sea salt and pepper.",March 2015,3.7,
Rigatoni with Lemon-Chile Pesto and Grated Egg,"12 ounces rigatoni or other short pasta,Kosher salt,4 hard-boiled large egg yolks,8 tablespoons (1 stick) unsalted butter, divided,1 teaspoon finely grated lemon zest,2 tablespoons fresh lemon juice,1 teaspoon finely grated Meyer lemon zest,2 tablespoons fresh Meyer lemon juice,½ teaspoon crushed red pepper flakes,Freshly ground black pepper,½ ounce Pecorino, finely grated (about ½ cup)","Cook pasta in a large pot of boiling salted water, stirring occasionally, until very al dente (pasta will still be opaque and very firm in the center). Drain pasta, reserving 1½ cups pasta cooking liquid.,Meanwhile, finely grate egg yolks on the small holes of a box grater and set aside.,Heat 6 Tbsp. butter in a large skillet over medium-high. Add both kinds of lemon zest and juice and red pepper flakes, swirling pan to incorporate. Add pasta and 1 cup pasta cooking liquid and cook, tossing often and adding more cooking liquid to help finish cooking pasta, until pasta is al dente and sauce is thickened and coats pasta, about 5 minutes. Taste and season with salt and pepper.,Add Pecorino and remaining 2 Tbsp. butter to pasta and toss until melted. Serve pasta topped with reserved grated egg yolks.",March 2015,3.52,"It’s currently on lockdown because of corona virus this dish is easy to make with limited recourses thank you,I love lemon in any dish, and loved the ""sauce"" -- very flavorful and rich, but light-seeming. I used parm rather than pecorino, but as I prepared it, It is not the most colorful or attractive dish you'll ever see. It's pretty easy to prepare so it's a great meal when you don't have a lot on hand, esp if you can live with substitutions. I will make this again, but will throw in some steamed spinach and maybe some mushrooms -- anyone have other ideas?"
Cauliflower-Cashew Soup with Crispy Buckwheat,"½ cup olive oil, divided,4 large shallots, thinly sliced,2 garlic cloves, thinly sliced,2 bay leaves,2 teaspoons fresh thyme leaves,Kosher salt,½ cup dry white wine,1 large head of cauliflower, cored, cut into small florets, stem chopped, divided,¼ teaspoon cayenne pepper,¾ cup plus 2 Tbsp. cashews,6 cups (or more) vegetable stock, preferably homemade,Freshly ground black pepper,2 tablespoons buckwheat groats,2 teaspoons fresh lemon juice,½ teaspoon paprika","Heat ¼ cup oil in a large heavy pot over medium. Add shallots, garlic, bay leaves, and thyme; season with salt. Cook, stirring occasionally, until shallots are translucent, 6–8 minutes.,Add wine, bring to a boil, and cook until reduced by half, about 4 minutes. Set ¾ cup cauliflower aside; add the rest to pot along with cayenne and ¾ cup cashews; season with salt.,Cover pot, reduce heat to low, and cook, shaking pot occasionally, until cauliflower is fork-tender and vegetables have released all their water, 20–25 minutes (check occasionally to make sure vegetables are not browning; reduce heat if they are).,Add stock and season with salt and black pepper. Bring to a boil, reduce heat, and simmer, partially covered, until cauliflower is falling apart, 20–25 minutes. Discard bay leaves. Remove from heat and let cool slightly.,Meanwhile, finely chop reserved ¾ cup cauliflower and remaining 2 Tbsp. cashews. Heat remaining ¼ cup oil in a small skillet over medium. Add cauliflower, cashews, and buckwheat; season with salt. Cook, stirring often, until cauliflower and cashews are golden brown and buckwheat is browned and crisp, 5–8 minutes. Remove from heat and stir in lemon juice and paprika. Let cool slightly.,Working in batches if needed, purée soup in a blender until very smooth. Return to pot and reheat over medium-low, stirring and adding more stock to thin if needed (soup should be the consistency of heavy cream). Taste and season soup again if needed.,Serve soup topped with toasted cauliflower-buckwheat mixture.,Do Ahead:, Soup can be made 2 days ahead (or 1 month if frozen). Let cool; transfer to airtight containers and chill.",March 2015,4.02,"Replaced the buckwheat with pumpkin seeds and also add some broccoli with the cauliflower, it changed the colour but was still delish! I agree the topping is essential, the lemon rounds out the flavours.,This was pretty good! I’m not dying to make it again, but it made a good meal. I like that even though the recipe is vegan, the soup was still very filling thanks to the cashews. The topping was an absolute must to add a little zing to the soup, so don’t skip it! My only small issue was that my topping wasn’t quite as oily as pictured - it was more a chunky mix that mostly sunk down once added to the soup. No biggie if you don’t care about aesthetics.,We live in a third world country and do not have a blender. Do you think I could try mashing everything together the best I can? Would that work? I know it would not look the same but should still taste the same? ,Amazing! I didn't have any cashews so instead used chickpeas, which were half blended with the soup & half added afterwards, and a dollop of yellow miso for extra umami. 

The topping is incredible! Given my lack of cashews I improvised with pumpkin seeds - still an absolute winner... and no doubt considerably cheaper than the original recipe! ,favorite soup we make at Christmas! flavors are phenomenal. ,I made this recipe for dinner tonight, and the flavours are absolutely amazing. My only regret is that I didn't make a double batch! "
